Seed,Gen,MaxFitness,MinFitness,AvgFitness
3,13,0.766225,0.461361,0.702459
3,14,0.791954,0.386115,0.705579
3,15,0.791954,0.0855381,0.671108
3,16,0.791954,0.386115,0.740345
3,17,0.791954,0.0928997,0.736413
3,18,0.791954,0.552761,0.730413
3,19,0.791954,0.0370564,0.695786
3,20,0.791954,0.0406684,0.689848
3,21,0.791954,0.552761,0.759267
3,22,0.791954,0.55057,0.748433
3,23,0.791954,0.578871,0.767306
3,24,0.791954,0.578871,0.754514
3,25,0.791954,0.578871,0.755487
3,26,0.804699,0.749681,0.775047
3,27,0.804699,0.718236,0.774282
3,28,0.955384,0.0453089,0.769946
3,29,0.877578,0.578871,0.781227
3,30,0.877578,0.241809,0.779198
3,31,0.877578,0.739919,0.789867
3,32,0.877578,0.0365009,0.771879
3,33,0.877578,0.707264,0.791187
3,34,0.866026,0.354773,0.770982
3,35,0.992556,0.354635,0.770632
3,36,0.992556,0.354635,0.741699
3,37,0.994926,0.334549,0.66342
3,38,0.992556,0.0818686,0.749653
3,39,0.992556,0.360815,0.783878
3,40,0.992654,0.700133,0.772819
3,41,0.895817,0.0282809,0.748025
3,42,0.895817,0.106843,0.721881
3,43,0.895817,0.2242,0.773337
3,44,0.895817,0.338995,0.775487
3,45,0.895817,0.619003,0.801617
3,46,0.895817,0.277816,0.79393
3,47,0.895817,0.640246,0.807493
3,48,0.895817,0.106298,0.749426
3,49,0.895817,0.442419,0.750274
3,50,0.885034,0.0927343,0.698564
3,51,0.884408,0.0368782,0.664804
3,52,0.770001,0.0926106,0.673171
3,53,0.71053,0.395648,0.680949
3,54,0.848392,0.255656,0.683257
3,55,0.858885,0.0576505,0.675168
3,56,0.858885,0.102113,0.67763
3,57,0.732977,0.645203,0.694623
3,58,0.707264,0.103397,0.689112
3,59,0.721553,0.103397,0.638804
3,60,0.721553,0.255656,0.692567
3,61,0.721553,0.0412142,0.676074
3,62,0.721553,0.668673,0.700789
3,63,0.721553,0.672269,0.700064
3,64,0.704473,0.700133,0.70022
3,65,0.757863,0.641231,0.700109
3,66,0.700133,0.0412142,0.668803
3,67,0.700133,0.641231,0.698398
3,68,0.700133,0.0926106,0.679492
3,69,0.707264,0.103397,0.682008
3,70,0.700133,0.442419,0.687885
3,71,0.782534,0.442419,0.691631
3,72,0.782534,0.442419,0.696444
3,73,0.700133,0.641231,0.695042
3,74,0.700133,0.64487,0.696687
3,75,0.700133,0.101056,0.67129
3,76,0.756487,0.0380062,0.681886
3,77,0.710884,0.64487,0.687755
3,78,0.700133,0.64487,0.685424
3,79,0.700133,0.64487,0.687038
3,80,0.700133,0.0469795,0.66009
3,81,0.700133,0.222089,0.679691
3,82,0.700133,0.291758,0.679493
3,83,0.700133,0.64487,0.686668
3,84,0.848392,0.427442,0.678949
3,85,0.853097,0.0923711,0.684029
3,86,0.848392,0.427442,0.682962
3,87,0.848392,0.11564,0.692121
3,88,0.782534,0.0923711,0.695052
3,89,0.782534,0.294161,0.685106
3,90,0.710884,0.0450574,0.688196
3,91,0.715359,0.223479,0.682478
3,92,0.714184,0.0454324,0.634189
3,93,0.714184,0.0492313,0.641684
3,94,0.710884,0.40085,0.679208
3,95,0.710884,0.50045,0.659466
3,96,0.714184,0.227175,0.666112
3,97,0.854774,0.50045,0.700506
3,98,0.854774,0.0380374,0.689638
3,99,0.865426,0.0380374,0.716395
3,100,0.854774,0.227175,0.770512
4,0,0.146323,0.0178127,0.0482687
4,1,0.192623,0.0253259,0.0679709
4,2,0.175824,0.0389014,0.0774008
4,3,0.175824,0.0407629,0.0862878
4,4,0.167994,0.0371999,0.09226
4,5,0.194348,0.0377434,0.0946938
4,6,0.150446,0.0367743,0.0939454
4,7,0.338226,0.0354855,0.112737
4,8,0.555278,0.0367743,0.218571
4,9,0.555278,0.0358257,0.292871
4,10,0.556359,0.135814,0.336894
4,11,0.560099,0.153579,0.356383
4,12,0.560099,0.107804,0.390836
4,13,0.563031,0.153579,0.419
4,14,0.791578,0.0382086,0.486389
4,15,0.560099,0.187487,0.486368
4,16,0.565323,0.0430691,0.51239
4,17,0.555278,0.335739,0.529738
4,18,0.565323,0.335739,0.538157
4,19,0.556359,0.477259,0.547649
4,20,0.556359,0.187487,0.541955
4,21,0.565419,0.0819612,0.537424
4,22,0.555278,0.521023,0.543178
4,23,0.555278,0.521023,0.540655
4,24,0.555278,0.105298,0.531827
4,25,0.565419,0.351173,0.544046
4,26,0.56443,0.538068,0.54732
4,27,0.555278,0.348468,0.539148
4,28,0.555278,0.0924343,0.525665
4,29,0.555278,0.410762,0.536378
4,30,0.556359,0.0488057,0.52256
4,31,0.578503,0.471498,0.540195
4,32,0.578503,0.0430988,0.529555
4,33,0.556359,0.092929,0.533204
4,34,0.556359,0.101102,0.535999
4,35,0.578503,0.215564,0.53748
4,36,0.578503,0.0430771,0.52989
4,37,0.791578,0.212761,0.507736
4,38,0.793777,0.0380648,0.559497
4,39,0.791578,0.480908,0.583761
4,40,0.791578,0.492951,0.58141
4,41,0.816593,0.492951,0.599944
4,42,0.816593,0.349186,0.63016
4,43,0.784314,0.197293,0.632273
4,44,0.784314,0.0377282,0.641936
4,45,0.778938,0.0432111,0.62434
4,46,0.778938,0.0440207,0.623898
4,47,0.915667,0.0440207,0.612827
4,48,0.790264,0.390534,0.664966
4,49,0.921319,0.119632,0.694511
4,50,0.778938,0.494315,0.700516
4,51,0.778938,0.539782,0.72845
4,52,0.778938,0.0398448,0.679503
4,53,0.801667,0.0423618,0.632224
4,54,0.80141,0.538851,0.609305
4,55,0.813405,0.415455,0.603417
4,56,0.813405,0.0821463,0.604712
4,57,0.795292,0.396102,0.636242
4,58,0.813405,0.503271,0.667001
4,59,0.813405,0.390534,0.686107
4,60,0.813405,0.539782,0.72252
4,61,0.819269,0.0366873,0.743808
4,62,0.813405,0.54615,0.772455
4,63,0.819269,0.321771,0.769965
4,64,0.826856,0.0400837,0.753173
4,65,0.819269,0.119895,0.762816
4,66,0.819269,0.109565,0.758277
4,67,0.819269,0.0401133,0.747258
4,68,0.819269,0.778452,0.787667
4,69,0.917936,0.245978,0.777813
4,70,0.806062,0.0401133,0.764246
4,71,0.789827,0.315517,0.728854
4,72,0.789827,0.498853,0.76537
4,73,0.784314,0.490052,0.713447
4,74,0.784314,0.276625,0.718914
4,75,0.786535,0.119746,0.747177
4,76,0.806062,0.772201,0.7829
4,77,0.909918,0.314485,0.778222
4,78,0.917936,0.0401133,0.779982
4,79,0.816593,0.650449,0.783669
4,80,0.824131,0.640779,0.781511
4,81,0.823045,0.0438001,0.772436
4,82,0.840195,0.0436853,0.762127
4,83,0.840195,0.119884,0.758497
